"null","Sourced","Placed","References","Value","Footprint","Quantity"
1,"","","C1, C2, C3, C10, C15","22uF","C_0402",5
2,"","","C6, C7, C13, C14","1uF","C_0402",4
3,"","","C9, C12","4.7uF","C_0402",2
4,"","","C4","22uF","C_0603",1
5,"","","C5","3300pF","C_0402",1
6,"","","R4, R5","5K","R_0402",2
7,"","","R8, R9","10K","R_0402",2
8,"","","R10","100K","R_0402",1
9,"","","L1","DFE201612E-2R2M","L_0806",1
10,"","","U1","MAX77654AENV+T","BGA30C40P6X5_279X234X50",1
11,"","","RT1","NTCLE413E2103H400","THT2",1
12,"","","S1","TL3365AF180QG","TL3365AF180QG",1
13,"","","J1","USB4105GFA060","GCT_USB4105GFA060",1
14,"","","J2","53261-0271","53261-0271",1
15,"","","J3","~","Header_THT_1.27_3P",1
16,"","","J4","~","Connector_20PIN_5052782033",1
